movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
The Marrying Man,4/5/1991,Romantic Comedy,R,12454768,24939118
Oscar,4/26/1991,Comedy,PG,23562716,47181395
One Good Cop,5/3/1991,Action,R,11276846,22580472
What About Bob?,5/17/1991,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,5/24/1991,Drama,,7300000,14617333
The Rocketeer,6/21/1991,Action,PG,46573027,93256673
The Doctor,7/24/1991,Drama,PG-13,37497480,75084021
Paradise,9/18/1991,Drama,PG-13,18634643,37313540
Deceived,9/27/1991,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,10/11/1991,Comedy,PG,14143280,28320147
Billy Bathgate,11/1/1991,Drama,R,15565363,31167691
Beauty and the Beast,11/13/1991,Musical,G,218951625,363017667
Father of the Bride,12/20/1991,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,1/10/1992,Thriller/Suspense,R,88036683,178831137
Medicine Man,2/7/1992,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,3/6/1992,Comedy,PG-13,2891055,5872667
Noises Off...,3/20/1992,Comedy,PG-13,2280148,4631720
Straight Talk,4/3/1992,Comedy,PG,21202099,43068356
Newsies,4/8/1992,,PG,2706352,5497481
Passed Away,4/24/1992,,PG-13,4030793,8187848
Encino Man,5/22/1992,Comedy,PG,40057130,81369058
Sister Act,5/29/1992,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,7/17/1992,Comedy,PG,58662452,119162518
A Stranger Among Us,7/17/1992,Drama,PG-13,12282994,24950752
3 Ninjas,8/7/1992,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,8/21/1992,,PG-13,3591460,7295423
Captain Ron,9/18/1992,Comedy,PG-13,22518097,45741576
Sarafina!,9/18/1992,Drama,PG-13,7306242,14841352
Innocent Blood,9/25/1992,Horror,R,4877567,9907922
The Mighty Ducks,10/2/1992,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,10/9/1992,Adventure,PG-13,7099531,14421454
Consenting Adults,10/16/1992,Drama,R,21591728,43859823
Aladdin,11/11/1992,Comedy,G,217350219,441969178
The Distinguished Gentleman,12/4/1992,Comedy,R,46434570,94349900
The Muppet Christmas Carol,12/11/1992,Comedy,G,27281507,55417615
Alive,1/15/1993,Adventure,R,36299670,73914543
Aspen Extreme,1/22/1993,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,2/3/1993,Adventure,G,41833324,85182343
The Cemetery Club,2/3/1993,Comedy,PG-13,5583621,11369541
Swing Kids,3/5/1993,Musical,PG-13,5632086,11468231
A Far Off Place,3/12/1993,Adventure,PG,12890752,26248558
Born Yesterday,3/26/1993,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,4/2/1993,Adventure,PG,24103594,49080505
Bound by Honor,4/16/1993,,R,4496583,9156084
Indian Summer,4/23/1993,Comedy,R,14717851,29968953
Super Mario Bros.,5/28/1993,Action,PG,20844907,42445058
Guilty as Sin,6/4/1993,Thriller/Suspense,R,22622537,46064723
Life With Mikey,6/4/1993,Comedy,PG,12349549,25146538
What's Love Got to Do With It,6/9/1993,Drama,R,39100956,79618610
Son in Law,7/2/1993,Comedy,PG-13,25989889,52921433
Hocus Pocus,7/16/1993,Comedy,PG,39360491,80147079
Another Stakeout,7/23/1993,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,8/6/1993,,PG-13,3218882,6554384
Father Hood,8/27/1993,,PG-13,3268203,6654819
The Joy Luck Club,9/8/1993,Drama,R,32790064,66768171
Money for Nothing,9/10/1993,Comedy,R,1044824,2127496
The Program,9/24/1993,Action,R,23042200,46919256
Cool Runnings,10/1/1993,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,10/13/1993,Musical,PG,50408318,100026637
The Three Musketeers,11/12/1993,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,12/10/1993,Comedy,PG,57319029,116965668
Tombstone,12/25/1993,Western,R,56505065,115781734
The Air Up There,1/7/1994,Comedy,PG,20782439,42940186
Cabin Boy,1/7/1994,Comedy,PG-13,3469493,7168577
Iron Will,1/14/1994,Drama,PG,20623071,42610902
Red Rock West,1/28/1994,,R,2502551,5170709
Blank Check,2/11/1994,Comedy,PG,30573770,63170804
Angie,3/4/1994,Comedy,R,9252349,19116981
The Ref,3/9/1994,Comedy,R,11325885,23401275
D2: The Mighty Ducks,3/25/1994,Comedy,PG,45604206,94226333
Holy Matrimony,4/8/1994,Comedy,,713234,1473665
White Fang 2: Myth of the White Wolf,4/15/1994,Adventure,PG,8752399,18083994
The Inkwell,4/22/1994,Comedy,R,8864699,18316030
When a Man Loves a Woman,4/29/1994,Drama,R,50021959,103354194
3 Ninjas Kick Back,5/6/1994,Action,PG,11744960,24267154
Renaissance Man,6/3/1994,Comedy,PG-13,24172899,49945474
The Lion King,6/15/1994,Adventure,G,422780140,761640898
I Love Trouble,6/29/1994,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,7/15/1994,Comedy,PG,50236831,103798152
In the Army Now,8/12/1994,Comedy,PG,28881266,59673787
Color of Night,8/19/1994,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,8/26/1994,Comedy,PG,10442641,21576332
It's Pat,8/26/1994,Comedy,,60822,125666
A Simple Twist of Fate,9/2/1994,Drama,PG-13,3404935,7035189
Quiz Show,9/14/1994,Drama,PG-13,24787282,50840394
Terminal Velocity,9/23/1994,Action,PG-13,16478900,34048315
Ed Wood,9/30/1994,Comedy,R,5828466,12042634
The Puppet Masters,10/21/1994,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,10/28/1994,Drama,PG,3319344,6858345
The Santa Clause,11/11/1994,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,11/23/1994,Action,R,29317886,60321919
The Jungle Book,12/25/1994,Adventure,PG,44342956,88930321
Houseguest,1/6/1995,Comedy,PG,26325256,51016522
Bad Company,1/20/1995,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,1/27/1995,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,2/3/1995,Comedy,R,7555256,14641561
Heavy Weights,2/17/1995,Comedy,PG,17671310,34245779
Man of the House,3/3/1995,Comedy,PG,40029009,77573459
Roommates,3/3/1995,Comedy,PG,12076989,23404369
Tall Tale,3/24/1995,Western,PG,8247627,15983331
A Pyromaniac's Love Story,3/28/1995,Romantic Comedy,PG,468240,907414
Jefferson in Paris,3/31/1995,Drama,PG-13,2461628,4770461
Funny Bones,3/31/1995,Comedy,R,529135,1025425
