movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Goal! The Dream Begins,5/12/2006,Drama,PG,4283255,5512647
Cars,6/9/2006,Comedy,G,244082982,314140384
Pirates of the Caribbean: Dead Manâ€™â€¦,7/7/2006,Adventure,PG-13,423315812,544817142
Step Up,8/11/2006,Drama,PG-13,65328121,84078780
Invincible,8/25/2006,Drama,PG,57806952,74398864
The Guardian,9/29/2006,Action,PG-13,55011732,70801353
The Prestige,10/20/2006,Thriller/Suspense,PG-13,53089891,68289913
Tim Burton's The Nightmare Before Chrâ€¦,10/20/2006,Musical,PG,24732041,30737517
The Santa Clause 3: The Escape Clause,11/3/2006,Comedy,G,84500122,108694869
DÃ©jÃ Vu,11/22/2006,Thriller/Suspense,PG-13,64038616,82267038
Apocalypto,12/8/2006,Adventure,R,50866635,64959548
Primeval,1/12/2007,Adventure,R,10597734,12985302
Bridge to Terabithia,2/16/2007,Drama,PG,82234139,100760721
Wild Hogs,3/2/2007,Comedy,PG-13,168213584,206110533
Meet the Robinsons,3/30/2007,Adventure,G,97822171,119860589
The Lookout,3/30/2007,Drama,R,4600585,5637048
The Hoax,4/6/2007,Drama,R,7164995,8779196
The Invisible,4/27/2007,Thriller/Suspense,PG-13,20568319,25202168
Pirates of the Caribbean: At Worldâ€™â€¦,5/24/2007,Adventure,PG-13,309420425,379129960
Ratatouille,6/29/2007,Comedy,G,206445654,252955933
Underdog,8/3/2007,Adventure,PG,43760605,53619462
The Game Plan,9/22/2007,Comedy,PG,90648202,111010758
Dan in Real Life,10/20/2007,Romantic Comedy,PG-13,47642963,58350234
Enchanted,11/21/2007,Romantic Comedy,PG,127706877,156074310
National Treasure 2: Book of Secrets,12/21/2007,Adventure,PG,219961501,267003525
Hannah Montana/Miley Cyrus: Best of Bâ€¦,2/1/2008,Concert/Performance,G,65281781,76646993
Step Up 2 the Streets,2/14/2008,Drama,PG-13,58017783,68118371
College Road Trip,3/7/2008,Comedy,G,45610425,53550960
The Chronicles of Narnia: Prince Caspian,5/16/2008,Adventure,PG,141621490,166277038
WALL-E,6/27/2008,Adventure,G,223808164,262771918
Swing Vote,8/1/2008,Comedy,PG-13,16289867,19125841
Goal! 2: Living the Dream...,8/29/2008,Drama,PG-13,225067,264247
Miracle at St. Anna,9/26/2008,Drama,R,7916887,9295171
Beverly Hills Chihuahua,10/3/2008,Comedy,PG,94514402,110932022
Morning Light,10/17/2008,Documentary,PG,275093,322979
High School Musical 3: Senior Year,10/24/2008,Musical,G,90559416,106308538
Bolt,11/21/2008,Comedy,PG,114053759,133702498
Bedtime Stories,12/25/2008,Comedy,PG,110101975,128039679
Confessions of a Shopaholic,2/13/2009,Romantic Comedy,PG,44277350,49767744
Jonas Brothers: The 3D Concert Experiâ€¦,2/27/2009,Concert/Performance,G,38174685,38174685
Race to Witch Mountain,3/13/2009,Adventure,PG,67172594,75501997
Hannah Montana the Movie,4/10/2009,Drama,G,79576189,89443640
Earth,4/22/2009,Documentary,G,32011576,35981010
Up,5/29/2009,Adventure,PG,293004164,329336681
The Proposal,6/19/2009,Romantic Comedy,PG-13,163958031,184288829
G-Force,7/24/2009,Adventure,PG,119436770,134246932
Gake no ue no Ponyo,8/14/2009,Adventure,G,15090399,16961607
X Games 3D: The Movie,8/21/2009,Documentary,PG,1391434,1563976
Walt and El Grupo,9/10/2009,Documentary,PG,20521,23064
Surrogates,9/25/2009,Action,PG-13,38577772,43361416
Toy Story 3D Double Feature,10/2/2009,Adventure,G,30702446,34509545
Disney's A Christmas Carol,11/6/2009,Drama,PG,137855863,154927105
The Princess and the Frog,11/25/2009,Adventure,G,104400899,116316457
Old Dogs,11/25/2009,Comedy,PG,49492060,55503929
When in Rome,1/29/2010,Romantic Comedy,PG-13,32680633,34917330
Alice in Wonderland,3/5/2010,Adventure,PG,334191110,357063499
Waking Sleeping Beauty,3/26/2010,Documentary,PG,80741,86264
The Last Song,3/31/2010,Drama,PG,62950384,67258772
Oceans,4/22/2010,Documentary,G,19422319,20751600
Prince of Persia: Sands of Time,5/28/2010,Action,PG-13,90759676,96971361
Toy Story 3,6/18/2010,Adventure,G,415004880,443408255
The Sorcerer's Apprentice,7/14/2010,Adventure,PG,63150991,67473105
Step Up 3D,8/6/2010,Drama,PG-13,42400223,45302137
Gedo Senki (Tales from Earthsea),8/13/2010,Adventure,PG-13,48658,51988
You Again,9/24/2010,Comedy,PG,25702053,27461121
Secretariat,10/8/2010,Drama,PG,59699513,63781920
Tangled,11/24/2010,Adventure,PG,200821936,214388548
Tron: Legacy,12/17/2010,Adventure,PG,172062763,183619259
Gnomeo and Juliet,2/11/2011,Comedy,G,99967670,106270797
I am Number Four,2/18/2011,Adventure,PG-13,55100437,58574607
Mars Needs Moms,3/11/2011,Adventure,PG,21392758,22741603
African Cats,4/22/2011,Documentary,G,15428747,16401551
Zokkomon,4/22/2011,Adventure,PG,2815,2984
Prom,4/29/2011,Comedy,PG,10130219,10768946
Pirates of the Caribbean: On Strangerâ€¦,5/20/2011,Adventure,PG-13,241063875,256263359
Cars 2,6/24/2011,Adventure,G,191450875,203522177
Winnie the Pooh,7/15/2011,Adventure,G,26692846,28375869
The Help,8/10/2011,Drama,PG-13,169705587,180404976
Fright Night,8/19/2011,Horror,R,18298649,19452402
Real Steel,10/7/2011,Action,PG-13,85463309,90848019
The Muppets,11/23/2011,Comedy,PG,88625922,94189503
War Horse,12/25/2011,Drama,PG-13,79883359,84762149
The Secret World of Arietty,2/17/2012,Adventure,G,19192510,20325733
John Carter,3/9/2012,Adventure,PG-13,73058679,77372445
Chimpanzee,4/20/2012,Documentary,G,28965459,30675725
The Avengers,5/4/2012,Action,PG-13,623279547,660081224
Brave,6/22/2012,Adventure,PG,237282182,251292441
People Like Us,6/29/2012,Drama,PG-13,12431792,13165822
The Odd Life of Timothy Green,8/15/2012,Drama,PG,51853450,54914942
Frankenweenie,10/5/2012,Comedy,PG,35287788,37363513
Wreck-It Ralph,11/2/2012,Adventure,PG,189412677,200354959
Lincoln,11/9/2012,Drama,PG-13,182207973,192122330
Oz the Great and Powerful,3/8/2013,Adventure,PG,234770996,243434130
Iron Man 3,5/3/2013,Action,PG-13,408992272,424084233
Monsters University,6/21/2013,Adventure,G,268488329,278395641
The Lone Ranger,7/2/2013,Western,PG-13,89302115,92597388
Disney Planes,8/9/2013,Comedy,PG,90282580,93614037
The Fifth Estate,10/18/2013,Drama,R,3254172,3374251
Thor: The Dark World,11/8/2013,Adventure,PG-13,206362140,213962184
Kaze Tachinu,11/8/2013,Drama,PG-13,5201879,5367415
Frozen,11/22/2013,Adventure,PG,400738009,414997174
Delivery Man,11/22/2013,Comedy,PG-13,30659817,31787136
Saving Mr. Banks,12/13/2013,Drama,PG-13,83299761,86249969
Need for Speed,3/14/2014,Action,PG-13,43568507,44955015
Muppets Most Wanted,3/21/2014,Comedy,PG,51178893,52807594
Captain America: The Winter Soldier,4/4/2014,Action,PG-13,259746958,268013076
Bears,4/18/2014,Documentary,G,17780194,18346024
Million Dollar Arm,5/10/2014,Drama,PG,36447959,37607865
Maleficent,5/30/2014,Adventure,PG,241407328,249089809
Planes: Fire and Rescue,7/18/2014,Adventure,PG,59157732,61040349
Guardians of the Galaxy,8/1/2014,Adventure,PG-13,333172112,343771168
The Hundred-Foot Journey,8/8/2014,Romantic Comedy,PG,54235441,55961409
"Alexander and the Terrible, Horrible,â€¦",10/10/2014,Comedy,PG,66954149,69055550
Big Hero 6,11/7/2014,Adventure,PG,222527828,229249222
Into the Woods,12/25/2014,Musical,PG,128002372,130894237
Strange Magic,1/23/2015,Adventure,PG,12429583,12429583
"McFarland, USA",2/20/2015,Drama,PG,44480275,44480275
Cinderella,3/13/2015,Drama,PG,201151353,201151353
Monkey Kingdom,4/17/2015,Documentary,G,16432322,16432322
Avengers: Age of Ultron,5/1/2015,Action,PG-13,459005868,459005868
Tomorrowland,5/22/2015,Adventure,PG,93436322,93436322
Inside Out,6/19/2015,Adventure,PG,356461711,356461711
Ant-Man,7/17/2015,Action,PG-13,180202163,180202163
Bridge of Spies,10/16/2015,Thriller/Suspense,PG-13,72313754,72313754
The Good Dinosaur,11/25/2015,Adventure,PG,123087120,123087120
Star Wars Ep. VII: The Force Awakens,12/18/2015,Adventure,PG-13,936662225,936662225
The Finest Hours,1/29/2016,Thriller/Suspense,PG,27569558,27569558
Zootopia,3/4/2016,Adventure,PG,341268248,341268248
The Jungle Book,4/15/2016,Adventure,PG,364001123,364001123
A Beautiful Planet,4/29/2016,Documentary,G,7895708,7895708
Captain America: Civil War,5/6/2016,Action,PG-13,408084349,408084349
Alice Through the Looking Glass,5/27/2016,Adventure,PG,77042381,77042381
Finding Dory,6/17/2016,Adventure,PG,486295561,486295561
The BFG,7/1/2016,Adventure,PG,55483770,55483770
Peteâ€™s Dragon,8/12/2016,Adventure,PG,76233151,76233151
The Light Between Oceans,9/2/2016,Drama,PG-13,12545979,12545979
Queen of Katwe,9/23/2016,Drama,PG,8874389,8874389
Doctor Strange,11/4/2016,Adventure,PG-13,232532923,232532923
Moana,11/23/2016,Adventure,PG,246082029,246082029
Rogue One: A Star Wars Story,12/16/2016,Adventure,PG-13,529483936,529483936
